name,url,image
Vegan bean chilli fries,https://www.bbcgoodfood.com/recipes/vegan-bean-chilli-fries,https://www.edamam.com/web-img/74c/74ccc34b1bdbe281ac129c2f9bd28e8b.jpg
Slow-Cooker Creamy Butternut Squash-Apple Soup,http://www.eatingwell.com/recipe/275354/slow-cooker-creamy-butternut-squash-apple-soup/,https://www.edamam.com/web-img/7d2/7d204ede1b3f723f8bdeefebb2e40171
Grilled Red Onion &amp;amp; Watermelon Salad,https://food52.com/recipes/83496-grilled-red-onion-watermelon-salad,https://www.edamam.com/web-img/c75/c75ca0076868d0a5339613b894d54df5.jpg
Glowing Green Smoothie,http://www.thedailymeal.com/recipes/glowing-green-smoothie-recipe,https://www.edamam.com/web-img/70c/70c4b26ded7496e459c71368517146e0.jpg
West African Peanut Stew,https://www.marthastewart.com/1546900/west-african-peanut-stew,https://www.edamam.com/web-img/b28/b28fbab9ed647913d37e72c6dbf12f08
Rye Bread and Beer Porridge (Øllebrød),https://food52.com/recipes/65618-rye-bread-and-beer-porridge-ollebrod,https://www.edamam.com/web-img/6d7/6d7bbd57d4cacbc49b9022eeb7ece00c.jpg
Black Bean and Mushroom Burgers,http://www.myrecipes.com/recipe/black-bean-mushroom-burgers,https://www.edamam.com/web-img/ac1/ac141578be2504441c418dc867a59ca7.jpg
Spiced Chicken Tacos with Lime-Cabbage Slaw,https://www.myrecipes.com/recipe/spiced-chicken-tacos-with-lime-cabbage-slaw,https://www.edamam.com/web-img/a6c/a6c5d569589619862b86fed9d84399a6
Dairy-Free Pumpkin Pie,http://www.eatingwell.com/recipe/278477/dairy-free-pumpkin-pie/,https://www.edamam.com/web-img/cb2/cb2f5cece2702e106dcef37afd967072
5-Minute Quinoa Sushi Bowl,http://www.thedailymeal.com/recipes/5-minute-quinoa-sushi-bowl-recipe,https://www.edamam.com/web-img/c43/c431f4b42b18a1a5d6b53339bf4214d6.jpg
Vegan lasagne,https://www.bbcgoodfood.com/recipes/vegan-lasagne,https://www.edamam.com/web-img/d82/d82cc799d7c7a39aefc663b9c1f94019.jpg
Lemon-Roasted Vegetable Hummus Bowls,http://www.eatingwell.com/recipe/277634/lemon-roasted-vegetable-hummus-bowls/,https://www.edamam.com/web-img/d54/d54c83768f94148a96af84dbb4afaa9a
This Vegan Hollandaise Sauce Will Make Your Meat-Eating Friends Jealous,http://www.myrecipes.com/extracrispy/vegan-hollandaise-edgy-veg,https://www.edamam.com/web-img/740/740a02bfc09c1cdce1dde11911928953.jpg
Vegan moussaka,https://www.bbcgoodfood.com/recipes/vegan-moussaka,https://www.edamam.com/web-img/000/000133739c6e0174bf6fb5fd9e116de4.jpg
Gluten- And Dairy-Free Pie Crust,http://food52.com/recipes/31902-gluten-and-dairy-free-pie-crust,https://www.edamam.com/web-img/698/6981a255bb6a643792901eae341de225.jpg
Roasted Butternut Squash & Root Vegetables with Cauliflower Gnocchi,http://www.eatingwell.com/recipe/275271/roasted-butternut-squash-root-vegetables-with-cauliflower-gnocchi/,https://www.edamam.com/web-img/54d/54dfdf8e88b63c423bce0b4b63c72045
Smoky Carrot Dogs with Nacho Sauce,http://www.myrecipes.com/recipe/smoky-carrot-dogs-nacho-sauce,https://www.edamam.com/web-img/9ab/9abdf5e9dedf9d2e6e8a7e9abd1da0be.jpg
