name,ingredients,health-info,diet,image
Southern Fish Stew,"['1 medium onion, sliced into thin strips', '1 cup lima beans, canned or frozen', '½ cups chicken or vegetable broth, low sodium', '2 cups fresh or frozen okra', '1 14.5 ounces can tomatoes with juice, diced or cut, stewed or with spices', '1 teaspoon basil, oregano, thyme', '1 pinch cayenne (optional for a little zing)', '¾ pounds firm fish cut into edible chunks (snapper or cod are excellent)']","['Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']","['High-Protein', 'Low-Fat']",https://www.edamam.com/web-img/60f/60fb2474861989dbe1cfc66506351e5d.jpg
Beetroot & Oats Halwa Pudding,"['4 cups Beetroot, peeled & shredded', '1/2 cup Sugar/Jaggery (adjust according to your taste)', '1/2 cup Old Fashioned Oats (optional, it gives a chewy and sticky texture)', 'Handfull of nuts..( I used almonds, cashew & pistachios)', '1/2 teaspoon Cardamom powder', '1/4 cup Milk OR Half & Half', '2 tablespoons Clarified Butter/Ghee']","['Vegetarian', 'Alcohol-Free']",[],https://www.edamam.com/web-img/69a/69a7432f47af4dd05b1e0371a2809191.jpg
Slow Cooker Super Low Sodium Tomato/Meat Sauce,"['15 Roma Tomatoes (chopped)', '2 Small Onions (finely chopped)', '4.5 tsp minced garlic', '3 Tbl Extra Virgin Olive Oil', 'Mrs. Dash (R) Garlic & Herb Seasoning Blend, 4 Tbl (to taste)', '.5 tsp Cayenne Pepper', '1 Can Hunts Tomato Paste - 100% Natural', '1 pound 96% Lean Ground Beef']","['Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free', 'Immuno-Supportive']",['Low-Carb'],https://www.edamam.com/web-img/f32/f3294adc4db553ec3e277cc821483f75.jpg
Low-Fat Deviled Eggs on Sweet Potato Nests,"['6 eggs', '50g/1.75oz corn kernels', '50g/1.75oz cooked chickpeas', '10ml/0.33fl oz coconut milk', '300g/10.5oz sweet potatoes', '15g/0.5oz corn flour', '1/2 tsp. paprika', '1/2 tsp. salt', '1/2 tsp. pepper', '60g/2oz arugula, or any salad leaf']","['Sugar-Conscious', 'Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/7a2/7a20339fdb0849b1e203f6cc3abdd696.jpg
Braised Pork Chops,"['1/2 teaspoon dried marjoram', '1/8 teaspoon onion powder', '1/8 teaspoon garlic powder', '1/8 teaspoon pepper', '4 bone-in pork loin chops, 3/4-thick each', '1 teaspoon olive or canola oil', '1/2 cup water', '2 teaspoons cornstarch', '1/4 cup reduced-sodium chicken broth']","['Sugar-Conscious', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/d6d/d6da88e3ffa1ccec0abec34da73cf7b6.jpg
Favorite Black Bean Soup,"[""1 cup medium yellow onion, peeled and chopped (or use 1 ½ Trader Joe's Freshly Diced Onio"", ""1 clove crushed garlic, or 1 cube frozen Crushed Garlic (available at Trader Joe's"", '2 tablespoons extra virgin olive oil', '1 teaspoon ground cumin', '2 (15-oz) cans black beans (do not drain)', ""1 cup (half a jar) of your favorite salsa, such as Trader Joe's Chunky Salsa"", '2 tablespoons lime juice (juice of 1 lime)', 'Plain yogurt or sour cream (optional)']","['Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free', 'Immuno-Supportive']",[],https://www.edamam.com/web-img/a99/a9925eb3a056bca719c07ee0eae4e271.jpg
