name,url,image
Low-Fat Chocolate Pudding,http://www.thedailymeal.com/recipes/low-fat-chocolate-pudding-recipe,https://www.edamam.com/web-img/8cd/8cd2816a8a4b8607bac20441e8708ef7.jpg
Low-fat turkey Bolognese,http://www.bbcgoodfood.com/recipes/low-fat-turkey-bolognese,https://www.edamam.com/web-img/5a1/5a164ad0ed649da875052d3b8f4bbea1.jpg
Low-Fat Strawberry-Cinnamon Muffins,http://www.myrecipes.com/recipe/low-fat-strawberry-cinnamon-muffins,https://www.edamam.com/web-img/25d/25d63101850e5305e5bd185baf5a0933.jpg
Low-fat minced beef and potato pies,http://www.bbc.co.uk/food/recipes/low-fat_minced_beef_and_34423,https://www.edamam.com/web-img/409/40974949433dd9127383883aceba3153.jpg
Spelt or Kamut Tortillas,http://www.marthastewart.com/355585/spelt-or-kamut-tortillas,https://www.edamam.com/web-img/3fb/3fbf0ca9e80222c74cfa80a35ff8be72.jpg
Low Fat Christmas Pudding,http://www.bbcgoodfood.com/recipes/147604/,https://www.edamam.com/web-img/2ac/2acc6fd1865fb531ae913c122882f081.jpg
Mini Grilled Artichoke Hearts with Low Fat Spinach and Artichoke Dip,https://www.foodnetwork.com/recipes/mini-grilled-artichoke-hearts-with-low-fat-spinach-and-artichoke-dip-recipe-2085409,https://www.edamam.com/web-img/a27/a2796347a8fac84f57f62a05768aedbf.jpeg
Low-Fat Chef's Salad recipes,http://www.myrecipes.com/recipe/low-fat-chefs-salad,https://www.edamam.com/web-img/fdf/fdf4b5262fcb15eca6c10b4de1e60b64
Low-Fat Chocolate Pudding,https://www.foodnetwork.com/recipes/milky-way-pudding-recipe-2109123,https://www.edamam.com/web-img/7c5/7c504d3b3e5f6ffbc94d396c5c06bdf7.jpeg
Low-fat beef and bean burrito with lime yoghurt,http://www.bbc.co.uk/food/recipes/low-fat_beef_and_bean_53274,https://www.edamam.com/web-img/d95/d9525356a9b9be035a20e82f88b71ef4.jpg
Fresh Muesli with Apple and Almonds recipes,http://www.marthastewart.com/348579/fresh-muesli-apple-and-almonds,https://www.edamam.com/web-img/93c/93cb3a04bbc881bfeb1acf2eddcec2a2
Sneaky Chef Strawberry Short Shake,http://www.thedailymeal.com/recipes/sneaky-chef-strawberry-short-shake-recipe,https://www.edamam.com/web-img/28a/28abc6a63df05db2586ab83c55a94a72.jpg
Sexy Low-Fat Vanilla Cupcakes Recipe,http://www.thedailymeal.com/recipes/sexy-low-fat-vanilla-cupcakes-fresh-berries-recipe,https://www.edamam.com/web-img/d59/d59acfef21f7939e8790c28619f86186.jpg
Low-Fat Gingerbread with Warm Citrus Sauce,http://www.delish.com/cooking/recipe-ideas/recipes/a32042/low-fat-gingerbread-warm-citrus-sauce-recipe-120413/,https://www.edamam.com/web-img/5d0/5d0fab844fa35ceb6f3e66f952b2c86f.jpg
Low-fat chicken biryani,https://www.bbcgoodfood.com/recipes/low-fat-chicken-biryani,https://www.edamam.com/web-img/721/721087aa8c0c37abb5ff34244e3062ed.jpg
Low-Fat Custard recipes,http://www.myrecipes.com/recipe/low-fat-custard,https://www.edamam.com/web-img/2f2/2f2350a4084f11b1f9f0d6c4249bee2c
Spinach and Feta Egg Scramble,http://www.thedailymeal.com/spinach-and-feta-egg-scramble-recipe,https://www.edamam.com/web-img/1e5/1e58ca6bad8f07d0804c0a205b2c35a5.jpg
Green Goddess Ranch Dresssing,http://www.delish.com/cooking/recipe-ideas/recipes/a5045/green-goddess-ranch-dressing-recipe/,https://www.edamam.com/web-img/be6/be6455e3c93d2394a8dd83d1b80c20b0.jpg
Low-Fat Clam Chowder,https://www.foodnetwork.com/recipes/food-network-kitchen/low-fat-clam-chowder-recipe-1973217,https://www.edamam.com/web-img/a21/a2166a6de6fa85dac16bff990c429a9a.jpeg
Spinach Timballo,http://www.delish.com/cooking/recipe-ideas/recipes/a7618/spinach-timballo-recipe/,https://www.edamam.com/web-img/6de/6de39cfd2b0ddb855b4735ee2cea3ac7.jpg
Low-fat Shellfish Gumbo,http://www.myrecipes.com/recipe/low-fat-shellfish-gumbo,https://www.edamam.com/web-img/acc/acc9e22bbd4722fb3dfeaaef6f6c8dbc.jpg
Crème Fraîche,http://www.delish.com/cooking/recipe-ideas/recipes/a31037/creme-fraiche-recipe-ghk0910/,https://www.edamam.com/web-img/768/7684ffcc82fbec0e67ad2937579453d7.jpg
Low-Fat Lobster Rolls recipes,http://www.myrecipes.com/recipe/low-fat-lobster-rolls,https://www.edamam.com/web-img/98c/98ccee471c086e0eac0957a2891b8d07
Broccoli Cheese Soup,https://www.foodnetwork.com/recipes/broccoli-cheese-soup-3362271,https://www.edamam.com/web-img/67f/67f70b8fa3b22bc2e2058bb8831cdab5.jpeg
Low-Fat Fettuccine Alfredo recipes,http://www.myrecipes.com/recipe/low-fat-fettuccine-alfredo,https://www.edamam.com/web-img/334/334a8506b829db14b1c2272f79b6cea3
Martita Martinez's Cheesy Chicken Quesadilla,http://www.delish.com/cooking/recipe-ideas/recipes/a28675/martita-martizs-cheesy-chicken-quesadilla/,https://www.edamam.com/web-img/a84/a84f6b530d048ba4f6c8c052e25f6088.jpg
Low-Cal Fettuccine Alfredo,https://www.foodnetwork.com/recipes/food-network-kitchen/low-cal-fettuccine-alfredo-recipe-2118317,https://www.edamam.com/web-img/53d/53d8d045322a44d0f54f29317fff2fcb.jpeg
Low-Fat Spanish Rice recipes,http://www.myrecipes.com/recipe/low-fat-spanish-rice,https://www.edamam.com/web-img/a6a/a6ab12b4ac0fb182585e13365a55cfbc
"Chocolate ""Sundae"" Ice Pops",https://www.foodnetwork.com/recipes/melissa-darabian/chocolate-sundae-ice-pops-3416773,https://www.edamam.com/web-img/d96/d9614d55d8e071df5e4154a1c7967aef.jpeg
Very Low-fat Apricot Cheesecake recipes,http://www.myrecipes.com/recipe/very-low-fat-apricot-cheesecake,https://www.edamam.com/web-img/84c/84cc9bb5f4a6f6fedb7851e092e7963d
Peanut-Butter-Cup Smoothie recipes,http://www.myrecipes.com/recipe/peanut-butter-cup-smoothie,https://www.edamam.com/web-img/cae/cae3e2a8f00abb3e2501988125e4c3a4
Chocolate-Banana Smoothie recipes,http://www.myrecipes.com/recipe/chocolate-banana-smoothie,https://www.edamam.com/web-img/fdc/fdc361232961cd3fff2801adbf48c98d
Cherry-Almond Smoothie recipes,http://www.myrecipes.com/recipe/cherry-almond-smoothie,https://www.edamam.com/web-img/21f/21fdc4ddd4c2470239760288a41a57eb
Chocolate-Peanut Butter Smoothie recipes,http://www.myrecipes.com/recipe/chocolate-peanut-butter-smoothie,https://www.edamam.com/web-img/707/70765efa91580681465b54d8e74d857a
Brandied Berry Milk Shake,http://www.myrecipes.com/recipe/brandied-berry-milk-shake,https://www.edamam.com/web-img/1c2/1c2a38145422662304ea7a3838a60b3c.jpg
Very Chocolate Milk Shake recipes,http://www.myrecipes.com/recipe/very-chocolate-milk-shake,https://www.edamam.com/web-img/391/3916033c575617317edb95da85463055
Mango Lassi Smoothie recipes,http://www.myrecipes.com/recipe/mango-lassi-smoothie-50400000130025/,https://www.edamam.com/web-img/4c5/4c52071c4bb2f4515f6174ea8e4e918d
Brunch Parfaits recipes,http://www.myrecipes.com/recipe/brunch-parfaits,https://www.edamam.com/web-img/030/0304cb3b6f54a2350c300339fd8d7c7c
Vanilla Bean Baked Custard recipes,http://www.myrecipes.com/recipe/vanilla-bean-custard,https://www.edamam.com/web-img/360/360d37c512368432e1ec43ebf66932c7
Easy Peach Crisp recipes,http://www.myrecipes.com/recipe/easy-peach-crisp-50400000122056/,https://www.edamam.com/web-img/7e1/7e1a48c5c11aa16481bb020d92ad1dbd
Maple-Peach Milk Shake recipes,http://www.myrecipes.com/recipe/maple-peach-milk-shake,https://www.edamam.com/web-img/fd9/fd9a307a66f21bd795ed8eaef9e2acfd
Cannoli Shake recipes,http://www.myrecipes.com/recipe/cannoli-shake,https://www.edamam.com/web-img/618/6188a36660a6ea1672c11ad08896de0b
Blueberry Oat Pancakes with Maple Yogurt,http://www.myrecipes.com/recipe/blueberry-oat-pancakes-with-ma,https://www.edamam.com/web-img/b4b/b4b34fd46bc031a8c2cfda003591cf1e.jpg
Healthier Fish Tacos,http://www.delish.com/cooking/recipe-ideas/recipes/a32185/healthier-fish-tacos-recipe-rbk0911/,https://www.edamam.com/web-img/495/495c7d2d03f3a694699f4bb53d3d4392.jpg
Blueberry Oat Pancakes with Maple Yogurt recipes,http://www.myrecipes.com/recipe/blueberry-oat-pancakes-with-maple-yogurt,https://www.edamam.com/web-img/773/773c8011daf706089bf9573dd3252d25
Gluten-Free Low-Fat Vegan Oatmeal Muffins Recipe,http://www.seriouseats.com/recipes/2012/04/gluten-free-low-fat-vegan-oatmeal-muffins.html,https://www.edamam.com/web-img/7e6/7e6b8baf62644471460d690882c2a3f5.jpg
Low-Fat Vegan Cheeze Sauce (updated version) recipes,http://ohsheglows.com/2011/08/18/quick-dirty-5-ingredient-vegan-cheeze-sauce-recipe-challenge/,https://www.edamam.com/web-img/c6d/c6d00a3f964b7e5bd06ec4ed3e58b7fe
Summer Slaw recipes,http://www.myrecipes.com/recipe/summer-slaw,https://www.edamam.com/web-img/25d/25dbbe198f9b3e436d87c011cb789416
Cool Cucumber and Dill Soup,http://www.delish.com/cooking/recipe-ideas/recipes/a22823/cool-cucumber-dill-soup-recipe-mslo0514/,https://www.edamam.com/web-img/b50/b509bd63b0678101f369057f59cb5502.jpg
Cherry-Walnut Chicken Salad recipes,http://www.thenaptimechef.com/2012/05/cherry-walnut-chicken-salad-naptime-entertaining/,https://www.edamam.com/web-img/8be/8be59f846e4203b141a8a68b8f9a6ff2
Creamy Tarragon Sauce,http://www.eatingwell.com/recipes/creamy_tarragon_sauce.html,https://www.edamam.com/web-img/ada/ada9623b0556318dc48186f83dda90e9.jpg
